answer,id,problem,type
\quad 18.58 \mathrm{ft}$,HHSWP_5_10,"A semi-impervious layer possessing a hydraulic conductivity of $1 \mathrm{ft} /$ day lies between an overlying water-table aquifer with a hydraulic conductivity of $40 \mathrm{ft} /$ day and an underlying confined aquifer with a hydraulic conductivity of $50 \mathrm{ft} /$ day, with the heads in both aquifers similar to those in Example 5.2. Given that the flow rate between the aquifers is $0.02 \mathrm{ft}^{3} / \mathrm{hr}$ per unit area of aquifer, find the thickness of the semi-impervious layer.",Hydrology
\quad 13.5 \mathrm{~cm}^{3} / \mathrm{cm}^{2}$ area,HHSWP_5_12,"Given the capillary pressure and volumetric moisture content distribution below, determine the amount of water that drained from a unit area of soil when the water table, initially at 170 cm below the surface, dropped to 220 cm. [Follow the method of Example 5.10 starting from step 6]

| Capillary pressure, cm | 0 | 20 | 40 | 60 | 80 | 100 | 120 | 137 | 150 | 170 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Volumetric moisture content, \% | 52 | 52 | 50 | 46.6 | 41.2 | 32 | 28 | 26 | 25 | 25 |",Hydrology
\quad 6.0 \mathrm{~cm}^{3} / \mathrm{cm}^{2}$ area,HHSWP_5_13,"The capillary pressure heads and volumetric moisture contents for a soil sample are listed below. Initially, the water table is at 280 cm. If it is reduced by 20 cm, calculate the volume of water released per unit area.

| Capillary pressure, cm | 0 | 20 | 50 | 80 | 100 | 120 | 150 | 170 | 200 | 230 | 250 | 280 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Volumetric moisture content, \% | 44 | 44 | 43 | 40.5 | 38 | 35 | 30 | 27 | 22 | 18 | 15.5 | 14 |",Hydrology
"\quad$ (a)

| Negative head, cm | 0 | 10 | 20 | 30 | 40 | 50 | 60 | 70 | 80 | 90 | 100 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Vol. moist. content \% | 53.2 | 52.92 | 52.5 | 51.66 | 50.40 | 48.58 | 46.20 | 44.24 | 43.12 | 42.56 | 42.28 |

(c) $5.45 \mathrm{~cm}^{3} / \mathrm{cm}^{2}$ area, (d) $53.2 \%$ (e) $42.3 \%$ (f) $10.9 \%$",HHSWP_5_14,"A $100-\mathrm{g}$ sample of dry soil is analyzed for moisture distribution due to capillary action. The variations in negative pressure head and the corresponding amounts of water released from the sample are detailed below. The soil's bulk density is $1.4 \mathrm{~g} / \mathrm{cc}$, and when saturated, it contains $38 \%$ moisture by weight.

| Negative Pressure Head (cm) | Water Released ( $\mathrm{cm}^{3}$ ) |
| :--- | :--- |
| 0 | 0.0 |
| 10 | 0.2 |
| 20 | 0.3 |
| 30 | 0.6 |
| 40 | 0.9 |
| 50 | 1.3 |
| 60 | 1.7 |
| 70 | 1.4 |
| 80 | 0.8 |
| 90 | 0.4 |
| 100 | 0.2 |

(a). Determine the volumetric moisture content for each pressure head (the ratio of the volume of water retained to the volume of soil). 
(b). Create a graph of the moisture distribution curve.
(c). Calculate the amount of water drained from the soil if the water table decreases from 100 cm to 150 cm below the surface. 
(d). What is the soil's porosity?
(e). Determine the soil's specific retention.
(f). Calculate the soil's specific yield.",Hydrology
"\quad 11,000 \mathrm{~m}^{3}$",HHSWP_5_16,"In a clay-rich formation, the groundwater level decreases by 0.6 m across an 8-hectare area. Determine the volume of water that is removed if the specific yield is $23 \%$. $\left(1 \mathrm{~km}^{2}=100\right.$ hectares $)$",Hydrology
"\quad 6.2 \times 10^{5} \mathrm{psi}, 42 \%, 58 \%$",HHSWP_5_18,"The specific storage for an artesian aquifer is $1.2 \times 10^{-6}$ per ft, and its porosity is 0.35. Calculate the modulus of elasticity for the soil solids. What portion of the storage coefficient results from the expansion of water in the aquifer, and what portion is due to the compression of the aquifer itself? $\left(\mathrm{E}_{\mathrm{W}}=3 \times 10^{5} \mathrm{psi}\right)$",Hydrology
\quad 67.2 \times 10^{3} \mathrm{~m}^{3}$,HHSWP_5_19,"Based on a pumping test conducted on a confined formation, the storage coefficient is determined to be $3 \times 10^{-3}$ at a site where the water depth is 50 m. For an aquifer covering an area of $3.2 \mathrm{~km}^{2}$ with an average depth of 35 m, calculate the volume of water released by the area when the pressure head decreases by 10 m.",Hydrology
\quad 2.31 \times 10^{-4}$,HHSWP_5_20,"Consider a confined aquifer with an average thickness of 150 ft and a porosity of 0.35. Given that the compressibility of water is $3 \times 10^{-6} \mathrm{in}^{2}{ }^{2} / \mathrm{lb}$ and the material compressibility is $2.5 \times 10^{-6}$ in. ${ }^{2} / \mathrm{lb}$, determine the storage coefficient of the aquifer.",Hydrology
"$\mathrm{Re}=0.18$, laminar condition",HHSWP_5_22,A well with a radius of 6 inches is drilled into a confined aquifer that has a thickness of 100 feet. The aquifer is composed of uniform sand with an average grain size of 0.3 inches. The pumping rate of the well is $100 \mathrm{ft}^{3} / \mathrm{hr}$. Assess if Darcy's flow conditions are present near the well at a temperature of $60^{\circ} \mathrm{F}$.,Hydrology
"(a) ${ }^{-}=3.8 \times 10^{-3}+17.4 \times 10^{-3}$ - (c) $v=17.81 \times 10^{-3} \mathrm{ft} / \mathrm{s}$, $\theta=78^{\circ}$ from horizontal",HHSWP_5_23,"A uniform, isotropic aquifer possesses a hydraulic conductivity of $0.02 \mathrm{ft} / \mathrm{s}$. The head gradients in the $x, y$, and $z$ directions are $0, 0.19$, and 0.87, respectively.  
a. Calculate the components of the velocity vector.  
b. Illustrate the velocity vectors for the aquifer.  
c. Determine the magnitude and direction of the aquifer's velocity.",Hydrology
(a) ${ }^{-}=6.3 \times 10^{-3}+2.46 \times 10^{-3}-$ (c) $v=6.76 \times 10^{-3} \mathrm{ft} / \mathrm{s}$,HHSWP_5_24,"A uniform anisotropic aquifer is characterized by these gradients and hydraulic conductivities:

|  | $i$ | $K(\mathrm{ft} / \mathrm{min})$ |
| :--- | :--- | :--- |
| $x$ direction | 0 | 0.04 |
| $y$ direction | 0.15 | 0.042 |
| $z$ direction | 0.82 | 0.003 |

a. Determine the Darcy's velocity vector.
b. Illustrate the velocity potential vectors.
c. Evaluate the specific discharge.",Hydrology
\quad 6.75 \mathrm{~m}^{3} /$ day $/ \mathrm{m}$,HHSWP_6_2,"For an unconfined aquifer with a hydraulic conductivity of $K=30 \mathrm{~m} /$ day, two observation wells located 2 km apart measure water levels at 50 m and 40 m, respectively, from the aquifer's base. Calculate the flow rate.",Hydrology
"(a) \quad 0.051 \mathrm{~m}^{3} / \mathrm{s}$

(b) \quad 12.15 \mathrm{yrs}$",HHSWP_6_4,"A well with a diameter of 0.4 m fully penetrates a confined aquifer that is 25 m thick, with a permeability coefficient of $12 \mathrm{~m} /$ day. The well is positioned at the center of a circular island with a radius of 1 km. The water level at the island's boundary is 80 m.

(a) What is the required pumping rate for the well to maintain the water level at 60 m above the bottom?

(b) For part (a), calculate the groundwater travel time from the island's boundary to the well. The aquifer's porosity is 0.25.",Hydrology
\quad 0.2 \mathrm{~m}^{3} / \mathrm{s}$,HHSWP_6_6,"A well with a diameter of 0.3 m completely penetrates an unconfined aquifer. The water table is positioned 70 m above the base, and the permeability coefficient is $20 \mathrm{~m} /$ day. The well is operated such that the water level within it consistently stays 20 m beneath the initial water table. The water table remains unaffected at a distance of 1 km. Calculate the well's flow rate.",Hydrology
"\quad 13,700 \mathrm{ft}^{2} /$ day, $19 \times 10^{-5}$",HHSWP_6_11,"From a well that fully penetrates a confined aquifer, the following drawdowns were recorded from an observation well located 200 ft from the source well, which is being pumped at a rate of 500 gpm. Use the type-curve method to find the transmissivity and storage coefficient.

| Time since pumping (min) | 0 | 1 | 1.5 | 2.0 | 2.5 | 3 | 4 | 5 |  | 8 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Drawdown (ft) | 0 | 0.66 | 0.87 | 0.99 | 1.11 | 1.21 | 1.36 | 1.49 |  | 1.75 |
| Time | 10 | 14 | 18 | 24 | 30 | 40 | 50 | 60 | 100 | 150 |
| Drawdown | 1.86 | 2.08 | 2.20 | 2.36 | 2.49 | 2.65 | 2.78 | 2.88 | 3.16 | 3.42 |
| Time | 180 | 210 | 240 |  |  |  |  |  |  |  |
| Drawdown | 3.51 | 3.61 | 3.67 |  |  |  |  |  |  |  |",Hydrology
"\quad 3070 \mathrm{ft}^{2} /$ day, $5.3 \times 10^{-4}$",HHSWP_6_13,"A 2-hour test was conducted on a confined aquifer at a flow rate of 400 gpm, with drawdowns recorded from several wells. Use the type-curve method to calculate the transmissivity and storage coefficient.

| Well number: | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Distance (ft) | 29 | 35 | 44 | 60 | 85 | 100 | 163 |
| Drawdown $(\mathrm{ft})$ | 14.9 | 13.8 | 12.7 | 11.7 | 10.1 | 9.6 | 7 |",Hydrology
"\quad 0.033 \mathrm{~m}^{3} / \mathrm{s}, 2.1 \times 10^{-4}$",HHSWP_6_14,"Consider a test conducted on a confined aquifer with a thickness of 50 m, where the following observations were recorded. The lab test determined the coefficient of permeability to be $25 \mathrm{~m} /$ day. Using the type-curve method, determine the rate of pumping and the storage coefficient of the aquifer given that $r=61 \mathrm{~m}$.

| Time (min) | 1 | 3 | 5 | 10 | 18 | 30 | 50 | 100 | 150 | 210 | 240 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Drawdown (m) | 0.2 | 0.37 | 0.45 | 0.57 | 0.67 | 0.76 | 0.85 | 0.97 | 1.05 | 1.1 | 1.12 |",Hydrology
"\quad 119.4 \mathrm{~m}^{2} /$ day, 0.01",HHSWP_6_15,"During a confined aquifer test, the following drawdowns were recorded at different observation wells 502 minutes after pumping started at a rate of $300 \mathrm{~m}^{3} /$ day.

| Well number: | 1 | 2 | 3 | 4 | 5 |
| :--- | :---: | :---: | :---: | :---: | :---: |
| Distance $(\mathrm{m})$ | 4.6 | 10.4 | 20 | 34.5 | 65.8 |
| Drawdown $(\mathrm{m})$ | 1.35 | 0.9 | 0.65 | 0.41 | 0.20 |

Calculate the transmissivity and storage coefficient using the type-curve method.",Hydrology
"\quad 18 \mathrm{ft}$
$6.1713,765 \mathrm{ft}^{2} /$ day, $18.8 \times 10^{-5}$",HHSWP_6_16,"In an unstable flow scenario, the provided data are: $\mathrm{Q}=0.1 \mathrm{cfs}$, $T=650 \mathrm{ft}^{2}/$ day, $t=35$ days, $r=0.6 \mathrm{ft}$, and $S=6 \times 10^{-3}$. Determine the drawdown.",Hydrology
"\quad 93,180 \mathrm{gpd} / \mathrm{ft}, 5.1 \times 10^{-4}$",HHSWP_6_19,"An artesian aquifer was continuously pumped by a well at a rate of 500 gpm. After a period of 200 days, drawdowns were recorded in three observation wells. Determine the transmissivity and storage coefficient of the aquifer using the Cooper-Jacob method. Additionally, verify if this method is suitable for all the wells.

| Distance from pumped well (ft) | Drawdown $(\mathrm{ft})$ |
| :---: | :---: |
| 100 | 8.5 |
| 1000 | 5.67 |
| 10,000 | 2.84 |",Hydrology
"\quad 67,000 \mathrm{gpd} / \mathrm{ft}, 0.0032$
valid for vertical flow and delayed yield but drawdown over 25\%",HHSWP_6_20,"From a pumping test conducted on an unconfined aquifer with a thickness of 40 ft, the following drawdown data was recorded from an observation well located 60 ft away from the pumping well. The pumping rate is $1500 \mathrm{gal} / \mathrm{min}$. Calculate the transmissivity and specific yield of the aquifer. Is it appropriate to analyze this as if it were a confined aquifer?

| Time (min) | 30 | 60 | 90 | 120 | 300 | 500 | 1000 | 2400 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Drawdown (ft) | 8 | 10.6 | 12.72 | 13.47 | 15.83 | 18.1 | 23.0 | 29.0 |",Hydrology
\quad 0.091 \mathrm{~m}^{3} / \mathrm{s}$,HHSWP_6_22,"A well with a diameter of 0.4 m completely penetrates a leaky confined aquifer with a hydraulic conductivity of $20 \mathrm{~m} /$ day and a thickness of 30 m. The confining layer has a leakage coefficient of 0.05 per day. If a drawdown of 1 m is observed at 100 m away from the well, determine the steady-state pumping rate of the well.",Hydrology
\quad 2 \mathrm{~m}$,HHSWP_6_23,"A 10-meter-thick aquifer is covered by a 2-meter-thick semipervious layer with a hydraulic conductivity of $2 \times 10^{-4} \mathrm{~cm} / \mathrm{min}$. The aquifer itself has a hydraulic conductivity of $1.5 \times 10^{-2} \mathrm{~cm} /$ sec and a storage coefficient of $4.4 \times 10^{-4}$. If a well within the aquifer is pumped at a rate of $800 \mathrm{~m}^{3} /$ day, calculate the drawdown 20 meters from the well after one hour.",Hydrology
"\quad 4.4 \times 10^{-3} \mathrm{~m}^{2} / \mathrm{min}, 6.4 \times 10^{-5}, 8.4 \times 10^{-5} \mathrm{~m} / \mathrm{min}$",HHSWP_6_24,"Measurements of time versus drawdown in an observation well located 50 m from a well extracting water at 75 gpm in a leaky aquifer are presented below. Given that the confining bed has a thickness of 12 m, calculate the transmissivity and storage coefficient of the main aquifer, as well as the hydraulic conductivity of the confining bed. [Hint: The type curve with $r / B=2$ is applicable]

| Time (min) | 3.5 | 5.0 | 6.5 | 7.5 | 10.0 | 12.5 | 15.0 | 17.5 | 25 | 50 | 125 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Drawdown (m) | 0.1 | 0.27 | 0.4 | 0.53 | 0.7 | 0.85 | 0.95 | 1.0 | 1.1 | 1.2 | 1.4 |",Hydrology
"$\quad 0.1 \mathrm{ft}^{2} / \mathrm{min}, 4 \times 10^{-4}, 1.5 \times 10^{-4} \mathrm{ft} / \mathrm{min}$",HHSWP_6_25,"From a pumping test conducted on a leaky aquifer, time-drawdown data were gathered in an observation well situated 100 ft from a well being pumped at 50 gpm. The thickness of the confining layer is 15 ft. Calculate the transmissivity and storage coefficient of the aquifer, as well as the hydraulic conductivity of the confining layer. [Hint: The type curve of $r / B=1$ is a match]

| Time (min) | 5 | 10 | 18 | 30 | 40 | 60 | 80 | 100 | 200 | 500 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Drawdown (ft) | 0.4 | 1 | 2 | 3 | 3.5 | 4 | 4.2 | 4.5 | 4.7 | 4.8 |",Hydrology
"$\quad B=0.85 \mathrm{~min} / \mathrm{m}^{2}, C=2.67 \mathrm{~min}^{2} / \mathrm{m}^{5}$",HHSWP_6_30,"In a step-drawdown test conducted on a production well, the pumping rates and the drawdowns recorded at the conclusion of each one-hour step are listed below. Calculate the coefficients for aquifer loss and well loss.

| Step | Rate, $\mathrm{m}^{3} / \mathrm{min}$ | Drawdown, m |
| :--- | :--- | :--- |
| 1 | 0.43 | 0.86 |
| 2 | 0.76 | 2.13 |
| 3 | 1.51 | 7.31 |
| 4 | 1.89 | 10.64 |
| 5 | 2.27 | 15.45 |",Hydrology
6 wells at 320 ft spacing,HHSWP_6_32,The aquifer demands a water extraction of 3 million gallons daily. This aquifer possesses a transmissivity of $6000 \mathrm{ft}^{2} /$ day and a storage coefficient of $8 \times 10^{-4}$. The allowable drawdown is 50 ft. The plan is to set up wells with an 8 in. diameter. Develop the well field design with a well efficiency of $90 \%$.,Hydrology
\quad 226 \mathrm{~m}^{2} /$ day,HHSWP_6_34,"In a water-table aquifer, water is being pumped at a rate of $2000 \mathrm{~m}^{3} /$ day. The aquifer exhibits a specific yield of 0.02. Following 12 hours of pumping from a well with a diameter of 0.3 m, the specific capacity is measured at $150 \mathrm{~m}^{2} /$ day. Given that the well operates at an efficiency of $70 \%$, calculate the aquifer's transmissivity.",Hydrology
\quad 4.71 \times 10^{-6} \mathrm{mg} / \mathrm{s}$,HHSWP_7_2,"Two bulbs are linked by a capillary tube with a diameter of 2 mm and a length of 1 m. One of the bulbs holds a carbon dioxide concentration of $100 \mathrm{mg} / \mathrm{L}$, while the other contains air. The system maintains a constant temperature and pressure. Calculate the initial rate at which the carbon dioxide will mix. The diffusion coefficient is $0.15 \mathrm{~cm}^{2} / \mathrm{s}$.",Atmospheric Physics
"(a) 7.4

| Distance, cm | $\pm 0$ | $\pm 1$ | $\pm 3$ | $\pm 5$ |
| :--- | :---: | :---: | :---: | :---: |
| At $t=1 \mathrm{~min}$ |  |  |  |  |
| $C, \mathrm{mg} / \mathrm{cm}^{3}$ | 0.236 | 0.153 | 0.005 | 0.00 |
| At $t=5 \mathrm{~min}$ |  |  |  |  |
| $C, \mathrm{mg} / \mathrm{cm}^{3}$ | 0.106 | 0.097 | 0.049 | 0.012 |
| At $t=10 \mathrm{~min}$ |  |  |  |  |
| $C, \mathrm{mg} / \mathrm{cm}^{3}$ | 0.075 | 0.072 | 0.051 | 0.026 |

(b) 7.5

| Distance, cm | $\pm 0$ | $\pm 1$ | $\pm 2$ | $\pm 3$ | $\pm 5$ |
| :--- | :--- | :--- | :--- | :--- | :--- |
| At $t=1 \mathrm{~min}$ |  |  |  |  |  |
| $C, \mathrm{mg} / \mathrm{cm}^{3}$ | * | 0.22 | 0.102 | 0.02 | 0 |
| At $t=5 \mathrm{~min}$ |  |  |  |  |  |
| $C, \mathrm{mg} / \mathrm{cm}^{3}$ | * | * | * | 0.106 | 0.075 |
| At $t=10 \mathrm{~min}$ C, $\mathrm{mg} / \mathrm{cm}^{3}$ |  |  |  |  |  |
|  | * | * | * | * | * |

* tracer moved out of this position due to advection

(c) The values are twice that of part (b) in the positive direction of $X$ only",HHSWP_7_4,"In an experiment, a 2 mg mass of a nonreactive tracer is instantaneously introduced at the center of a long column with a 1 cm radius. The dispersion coefficient is $35 \mathrm{~cm}^{2} / \mathrm{hr}$.

(a) Create plots of concentration versus distance for elapsed times of 1, 5, and 10 minutes.

(b) For part (a), if the tracer moves through the column at a velocity of $1 \times 10^{-2} \mathrm{~cm} / \mathrm{s}$, generate the concentration-distance plots and compare them with those from part (a).

(c) Address part (b) with the tracer initiated at one end of the column.",Hydrology
"7.7

| Time, $\min$ | 0 | 10 | 30 | 60 | 90 | 120 | 150 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| $C / C_{o}$ | 0 | 0 | 0 | 0.11 | 0.69 | 0.96 | 1.00 |
",HHSWP_7_7,"In an experiment, a nonreactive tracer is continuously introduced at a concentration of $0.5 \mathrm{mg} / \mathrm{L}$ at the midpoint of a lengthy column. The tracer moves through the column at a speed of $30 \mathrm{~cm} / \mathrm{hr}$. Create a plot of the relative concentration at 40 cm from the injection point at the following times: $0,10,30,60,90,120$, and 150 minutes. The dispersion coefficient is $9 \times 10^{-3} \mathrm{~cm}^{2} / \mathrm{s}$.",Hydrology
"\quad 0.51 \mathrm{~cm} / \mathrm{min}, 0.91 \mathrm{~cm}^{2} / \mathrm{min}$",HHSWP_7_8,"A nonreactive chemical species is steadily introduced into the center of an extended column at a specific velocity. The $C / C_{o}$ values of 0.42 and 0.60 were recorded 25 cm from the point of release after 45 minutes and 54.2 minutes, respectively. Calculate the velocity and the dispersion coefficient for this chemical.",Hydrology
"7.9

| $x, \mathrm{~m}$ | 10 | 20 | 30 | 40 |
| :--- | :---: | :---: | :---: | :---: |
| $C, \mathrm{mg} / \mathrm{L}$ | 37.8 | 4.5 | 0.11 | 0 |
",HHSWP_7_9,"A nonreactive contaminant with a concentration of $100 \mathrm{mg} / \mathrm{L}$ is continuously released at the center of a long, narrow trench that completely penetrates an aquifer. The advection velocity in the aquifer is $3 \times 10^{-4} \mathrm{~cm} / \mathrm{s}$. Determine the contaminant concentration after 30 days at intervals of 10 meters from the source. The dispersion coefficient is $0.1 \mathrm{~cm}^{2} / \mathrm{s}$. Create a plot of the concentration versus distance.",Hydrology
"\quad 0.99 \times 10^{-5} \mathrm{~cm}^{2} / \mathrm{s}$, diffusion controlled",HHSWP_7_10,"Hydrogen sulfide moves through an aquifer composed of silty sand. The porosity of the aquifer is 0.5, with a hydraulic conductivity of $5 \mathrm{~m} /$ day and an average grain size of 0.07 mm. The water table decreases by 10 ft over a distance of 1 mile. Calculate the hydrodynamic dispersion coefficient and determine if the dispersion is primarily influenced by diffusion or advection. The diffusion coefficient $D_{0}$ for hydrogen sulfide in water is $1.41 \times 10^{-5} \mathrm{~cm}^{2} / \mathrm{s}$.",Hydrology
\quad$ (a) 85.86 cm (b) 1,HHSWP_7_11,"A pollutant is steadily seeping into an aquifer. The aquifer characteristics include a hydraulic conductivity of $50 \mathrm{~m} /$ day, a porosity of 0.5, and an average grain size of 0.5 mm. The gradient of the water table is 0.008. The diffusion coefficient for the contaminant in water is $6 \times 10^{-5}$ $\mathrm{cm}^{2} / \mathrm{s}$. (a) How far will the plume with a 0.1 relative concentration ( $10 \%$ of the initial concentration) move through the aquifer in one day? (b) What will the relative concentration be at a distance of 50 cm from the source after one day?",Hydrology
"Q_{\text {water }}=4.78 \mathrm{ft}^{3} / \mathrm{day}, Q_{\mathrm{CTC}}=2.6 \mathrm{ft}^{3} /$ day",HHSWP_7_12,"In an experiment involving a sand column with a height of 3 ft, a water line is activated to completely saturate the column. Subsequently, a carbon tetrachloride (CTC) line is opened to introduce CTC into the column. At equilibrium, the relative permeability for water is 0.2, while for CTC, it is 0.05. The water head above the sand column measures 10 ft, and the CTC head is 12 ft. Calculate the flow rates of both phases as they move through the column.",Hydrology
\quad 5.9 \mathrm{~cm}$,HHSWP_7_14,"Calculate the critical height for a glycerin column to move downward through a saturated sandy porous medium with an average grain size of 1 mm at $15^{\circ} \mathrm{C}$. The surface tension of glycerin with air is $63.41 \times 10^{-3} \mathrm{~N} / \mathrm{m}$, and that of water with air is $72.75 \times 10^{-3} \mathrm{~N} / \mathrm{m}$. (Assume the wetting angle is zero.) [Hint: The surface tension between water and glycerin is the difference between the two surface tensions.]",Hydrology
"(a) \quad 5.6 \mathrm{ft}$

(b) \quad 0.89 \mathrm{ft}^{3} / \mathrm{s}$",HHSWP_7_16,"Within a deep saline water aquifer, a fresh water zone with a depth of 100 ft is present. A well is established reaching a depth of 80 ft to extract water at a rate of 0.5 cfs. The aquifer's permeability is $100 \mathrm{ft} / \mathrm{hr}$.

(a) Calculate the upconing rise of the saline water under steady state conditions (consider a saltwater unit weight of $64 \mathrm{lb} / \mathrm{ft}^{3}$).

(b) Will the pump extract saline water? If not, what is the maximum pumping rate that can be maintained without drawing saline water into the well?",Hydrology
"(a) p-plot curvature indicates non-normality

(b) \quad W_{\text {comp }}=0.992, W_{\text {critical }}=0.897$, lognormal data",HHSWP_7_18,"The copper concentrations below were recorded from three monitoring wells.

(a) Verify if the observations adhere to a normal distribution using a p-plot and the Shapiro-Wilk test.

(b) Assess if the dataset from part (a) conforms to a lognormal distribution using a p-plot and the Shapiro-Wilk test.

Copper Concentration (ppb)

| Month | Well 1 | Well 2 | Well 3 |
| :--- | :--- | :--- | :--- |
| 1 | 8.2 | 18.4 | 10.4 |
| 2 | 11.6 | 21.8 | 12.8 |
| 3 | 22.6 | 29 | 22.4 |
| 4 | 14 | 32.2 | 23 |
| 5 | 14.6 | 43 | 20.2 |
| 6 | 16.4 | 35.2 | 19.4 |",Hydrology
"(a) p-plot curvature indicates non-normality

(b) \quad W_{\text {comp }}=0.993, W_{\text {critical }}=0.915$, lognormal data

(c) $\quad \mathrm{CI}_{\mathrm{L}}=2.687 \mathrm{ppm}$, average $\mathrm{GWPS}=1.668$, evidence of contamination

(d) Well \# 1, $\mathrm{CI}_{\mathrm{L}}=2.44$, GWPS $<\mathrm{CI}_{\mathrm{L}}$, evidence of contamination

Well \# 6, $\mathrm{CI}_{\mathrm{L}}=0.74, \mathrm{GWPS}>\mathrm{CI}_{\mathrm{L}}$, no evidence of contamination

(e) Well \# 1, $\mathrm{CI}_{\mathrm{L}}=3.28 \mathrm{ppm}, \ln \mathrm{MCL}=3.91$, no evidence of contamination

Well \# 6, $\mathrm{CI}_{\mathrm{L}}=1.64 \mathrm{ppm}, \ln \mathrm{MCL}=3.91$, no evidence of contamination",HHSWP_7_20,"The concentrations of arsenic measured in six monitoring wells from monthly samples are provided below.

(a) Use the p-plot and the Shapiro-Wilk test to assess if these data follow a normal distribution.

(b) Evaluate whether the data from part (a) fit a lognormal distribution using the p-plot and the Shapiro-Wilk method.

(c) The arsenic concentrations in six compliance wells are as previously indicated. Three background wells have recorded average concentrations of $5, 4.8$, and $6.2$ ppm, respectively. With $95 \%$ confidence, determine if the compliance wells are contaminated. Assume the data are lognormally distributed.

(d) Analyze each compliance well individually. Ascertain if well \#1 and well \#6 show signs of contamination at a $95 \%$ confidence level. The background well concentrations remain as in part (c). Assume the data for each well are lognormally distributed.

(e) The EPA has set an MCL for arsenic at 50 ppm. Determine if well \#1 and well \#6 show signs of contamination at a $99 \%$ confidence level for the 95th percentile. Assume the data are lognormally distributed.

| Month | Well 1 | Arsenic Concentration (ppm) |  |  |  |  |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
|  |  | Well 2 | Well 3 | Well 4 | Well 5 | Well 6 |
| 1 | 23 | 3.26 | 3.26 | 14.4 | 28.5 | 0.46 |
| 2 | 6.66 | 1.2 | 165.8 | 19 | 1.65 | 11.14 |
| 3 | 63.8 | 14.4 | 9.5 | 35.4 | 0.82 | 5.7 |
| 4 | 8.02 | 92.4 | 4.5 | 3.26 | 63.8 | 2.1 |",Hydrology
"(a) \quad W_{\text {comp }}=0.978, W_{\text {critical }}=0.905$, normal data

(b) $\mathrm{CI}_{\mathrm{L}}=5, \mathrm{MCL}=5$, at threshold",HHSWP_7_22,"Cadmium levels in ppb for four monitoring wells are provided.

(a) Assess if the concentration distribution adheres to a normal distribution using the p-plot and the Shapiro-Wilk test.

(b) From part (a), evaluate if there is any indication of contamination in well \#3 at a $99 \%$ confidence level, specifically for the 95th percentile. The EPA's MCL for cadmium is set at 5 ppb. Assume the data follows a normal distribution.

| Cadmium Concentration (ppb) |  |  |  |  |
| :--- | :--- | :--- | :--- | :--- |
| Month | Well 1 | Well 2 | Well 3 | Well 4 |
| 1 | 4.07 | 2.94 | 3.66 | 1.13 |
| 2 | 0 | 4.4 | 5.02 | 6.85 |
| 3 | 5.57 | 5.8 | 3.3 | 4.45 |
| 4 | 4.03 | 2.64 | 3.06 | 2.3 |
| 5 | 2.16 | 4.17 | 6.36 | 6.46 |",Hydrology
"\quad X_{\text {mean }}=13.65, S=6.19, r_{1}=0.42$ (low), independent data",HHSWP_7_24,"Below are the toluene concentrations found in a well. Determine whether the data set is statistically independent.

| Month | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| Toluene, ppb | 17.5 | 14.5 | 6.4 | 4.0 | 5.0 | 12.5 | 8.0 | 11.2 | 13.7 | 25.0 |


| Month | 11 | 12 | 13 | 14 | 15 | 16 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| Toluene, ppb | 19.0 | 7.8 | 20.2 | 18.2 | 20.1 | 15.3 |",Hydrology
"(a) \quad \mathrm{TI}_{\mathrm{U}}=137 \mathrm{ppb}$, no evidence of contamination

(b) $\quad \mathrm{PI}_{\mathrm{U}}=92 \mathrm{ppb}$, compl. well con. $>\mathrm{PI}_{\mathrm{U}}$, evidence of contamination",HHSWP_7_29,"Chromium concentrations in ppb within a background well are provided below.

(a) Determine the upper tolerance limit for $95 \%$ coverage at a $95 \%$ tolerance level. A compliance well measures a concentration of 100 ppb. Does the data, assumed to be normally distributed, suggest any contamination?

(b) Examine part (a) using a prediction interval with a $95 \%$ confidence prediction level.

| Month | 1 | 2 | 3 | 4 | 5 | 6 |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| Chromium, ppb | 11.22 | 17.71 | 6.27 | 74.8 | 53.79 | 3.11 |",Hydrology
